v_mps,a_mps2,pressure_MPa,mu,v_next_mps,a_next_mps2,brake_utilization,slip_risk
26.0157397771753,-0.511136289368328,1.85697561852018,0.8,25.8352004809303,-3.61078592490036,0.460089949656009,0
2.99604452241384,-6.31161009274793,8.02452494858059,0.6,2.70174452241384,-5.886,2.65090773964889,1
15.6189588066608,-5.69370835015384,0.834005297922065,0.8,15.5378749582517,-1.62167696818179,0.206635699309607,0
16.9291622178323,-7.89580355877933,2.61062309906744,0.4,16.7329622178323,-3.924,1.29363190150867,1
4.4735959284443,-6.96642676623947,6.60102902157356,0.8,4.0811959284443,-7.848,1.63549110711204,1
19.3218429251317,-4.39952145503103,6.44483141840076,0.2,19.2237429251317,-1.962,6.38716444795636,1
21.3485507385626,-2.81224747752342,7.38979410855564,0.2,21.2504507385626,-1.962,7.32367181445938,1
28.0916254026594,-1.02318698695117,1.41941653191055,0.8,27.9536265731681,-2.75997658982608,0.351678974238797,0
31.5552831947387,-5.84438868207282,8.82266772915486,0.8,31.1628831947387,-7.848,2.18593109723935,1
6.6934066500835,-3.79874898516556,2.90106075456426,0.6,6.41135907672309,-5.64095146720828,0.958367561537254,1
9.81871505142337,-6.98311939571871,7.13060967989198,0.6,9.52441505142337,-5.886,2.35560217084059,1
22.9187287993782,-4.02436018109426,9.24561070153341,0.6,22.6244287993782,-5.886,3.05429431941773,1
6.82559410273398,-6.41910235788626,5.40148671788871,0.6,6.53129410273398,-5.886,1.78438512408073,1
9.6246250178042,-5.74657886998417,0.666842410270733,0.8,9.55979311680566,-1.29663801997087,0.165218911820957,0
20.3430235096684,-4.14561989083236,2.58182478718255,0.8,20.0920127664701,-5.02021486396606,0.639680793063974,0
7.95766933118972,-3.16262168522557,6.95365395994134,0.8,7.56526933118972,-7.848,1.72285853860819,1
26.6792546237821,-1.18968425641157,0.437812883706382,0.2,26.6366894823107,-0.851302829429076,0.433895427843566,0
28.9631441311927,-4.77601865855605,1.15158831666457,0.6,28.8511841559614,-2.23919950462556,0.3804280503951,0
3.80671180425369,-5.31375465541915,7.38820129573377,0.2,3.70861180425369,-1.962,7.3220932537853,1
19.0530357066122,-4.67543853457295,4.94049736148202,0.6,18.7587357066122,-5.886,1.63209694993648,1
27.12906925522,-1.68158477112454,6.67459713280297,0.2,27.03096925522,-1.962,6.61487426798346,1
32.5737124798008,-5.51586749449529,0.0791745821172996,0.6,32.5660149509838,-0.153950576339194,0.0261553816410455,0
11.1579014587184,-7.10996799200632,8.89319317904054,0.4,10.9617014587184,-3.924,4.40680939611534,1
7.94475471394227,-5.25952233020737,2.13177838927996,0.8,7.73749848165116,-4.14512464582214,0.528175923269896,0
29.56586175555,-3.10239733642742,3.51343380302761,0.6,29.27156175555,-5.886,1.1606654500884,1
30.5583530593593,-3.12272101205061,5.28793876657071,0.6,30.2640530593593,-5.886,1.74687447455332,1
8.8135049559409,-2.81540605876025,0.424539091985784,0.4,8.77223032199784,-0.825492678861246,0.210370203583396,0
16.2689643603584,-3.36404650145552,0.573341295279988,0.8,16.2132228455396,-1.11483029637775,0.142052790058327,0
24.7543154405992,-2.49768598600207,8.69246248927768,0.4,24.5581154405992,-3.924,4.30734209883224,1
28.6077687400103,-4.81783520771967,0.090545241079667,0.2,28.5989657304609,-0.176060190988241,0.0897350616657703,0
