time_s,mu,pressure_fixed_MPa,pressure_shield_MPa,v_fixed_mps,v_shield_mps,a_fixed_mps2,a_shield_mps2,v_pred_shield_mps,a_pred_shield_mps2,risk_fixed,risk_shield
0.9,0.8,8,3.5,15.1590222222222,16.0972222222222,-7.848,-6.80555555555556,15.77416233731,-6.80618426409458,1,0
0.95,0.8,8,3.5,14.7666222222222,15.7569444444444,-7.848,-6.80555555555556,15.4337625495921,-6.80610651914922,1,0
1,0.8,8,3.5,14.3742222222222,15.4166666666667,-7.848,-6.80555555555556,15.0933627618741,-6.80602877420386,1,0
1.05,0.8,8,3.5,13.9818222222222,15.0763888888889,-7.848,-6.80555555555556,14.7529629741562,-6.8059510292585,1,0
1.1,0.8,8,3.5,13.5894222222222,14.7361111111111,-7.848,-6.80555555555556,14.4125631864382,-6.80587328431313,1,0
1.15,0.8,8,3.5,13.1970222222222,14.3958333333333,-7.848,-6.80555555555556,14.0721633987203,-6.80579553936777,1,0
1.2,0.8,8,3.5,12.8046222222222,14.0555555555555,-7.848,-6.80555555555556,13.7317636110023,-6.80571779442241,1,0
1.25,0.8,8,3.5,12.4122222222222,13.7152777777778,-7.848,-6.80555555555556,13.3913638232844,-6.80564004947705,1,0
1.3,0.8,8,3.5,12.0198222222222,13.375,-7.848,-6.80555555555556,13.0509640355664,-6.80556230453168,1,0
1.35,0.8,8,3.5,11.6274222222222,13.0347222222222,-7.848,-6.80555555555556,12.7124262079744,-6.80561044797535,1,0
1.4,0.8,8,3.5,11.2350222222222,12.6944444444444,-7.848,-6.80555555555556,12.3763443874802,-6.80582464372737,1,0
1.45,0.8,8,3.5,10.8426222222222,12.3541666666666,-7.848,-6.80555555555556,12.040262566986,-6.80603883947939,1,0
1.5,0.8,8,3.5,10.4502222222222,12.0138888888889,-7.848,-6.80555555555556,11.7041807464919,-6.80625303523142,1,0
1.55,0.8,8,3.5,10.0578222222222,11.6736111111111,-7.848,-6.80555555555556,11.3575850546357,-6.80535697637089,1,0
1.6,0.8,8,3.5,9.66542222222224,11.3333333333333,-7.848,-6.80555555555556,11.0174427263282,-6.80516757064708,1,0
1.65,0.8,8,3.5,9.27302222222224,10.9930555555555,-7.848,-6.80555555555556,10.6771834646289,-6.80496154325805,1,0
1.7,0.8,8,3.5,8.88062222222224,10.6527777777778,-7.848,-6.80555555555556,10.3369242029295,-6.80475551586902,1,0
